Metodo,Acuracia
"Clf MultNeg ""L"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""L"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""L"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""D"" and ""I""",0.996996996996997
"Clf MultNeg ""D"" and ""E""",0.993993993993994
"Clf MultNeg ""D"" and ""B""",0.993993993993994
"Clf MultNeg ""D"" and ""T""",0.990990990990991
"Clf MultNeg ""D"" and ""lOCode""",0.996996996996997
"Clf MultNeg ""D"" and ""lOComment""",0.978978978978979
"Clf MultNeg ""D"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""D"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""D"" and ""uniq_Op""",0.990990990990991
"Clf MultNeg ""D"" and ""uniq_Opnd""",0.984984984984985
"Clf MultNeg ""D"" and ""total_Op""",0.993993993993994
"Clf MultNeg ""D"" and ""total_Opnd""",0.993993993993994
"Clf MultNeg ""D"" and ""branchCount""",0.990990990990991
"Clf MultNeg ""I"" and ""E""",0.987987987987988
"Clf MultNeg ""I"" and ""B""",0.987987987987988
"Clf MultNeg ""I"" and ""T""",0.996996996996997
"Clf MultNeg ""I"" and ""lOCode""",0.993993993993994
"Clf MultNeg ""I"" and ""lOComment""",0.984984984984985
"Clf MultNeg ""I"" and ""locCodeAndComment""",0.993993993993994
"Clf MultNeg ""I"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""I"" and ""uniq_Op""",0.987987987987988
"Clf MultNeg ""I"" and ""uniq_Opnd""",0.978978978978979
"Clf MultNeg ""I"" and ""total_Op""",0.987987987987988
"Clf MultNeg ""I"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""I"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""E"" and ""B""",0.993993993993994
"Clf MultNeg ""E"" and ""T""",0.996996996996997
"Clf MultNeg ""E"" and ""lOCode""",0.993993993993994
"Clf MultNeg ""E"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""E"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""E"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""E"" and ""uniq_Op""",0.987987987987988
